home,away,league,home_score,away_score,home_starting_1,home_starting_2,home_starting_3,home_starting_4,home_starting_5,home_starting_6,home_starting_7,home_starting_8,home_starting_9,home_starting_10,home_starting_11,home_bench_3,home_bench_4,home_bench_5,away_starting_1,away_starting_2,away_starting_3,away_starting_4,away_starting_6,away_starting_7,away_starting_8,away_starting_9,away_starting_10,away_starting_11,away_bench_3,away_bench_4,away_bench_5
West Ham United,Wolverhampton Wanderers,2009-2010 Barclays Premier League,1,3,Robert Green,Matthew Upson,James Tomkins,Fabio Daprela,Julien Faubert,Radoslav Kovac,Scott Parker,Alessandro Diamanti,Valon Behrami,Benedict McCarthy,Carlton Cole,Aruajo Ilan,Marek Stech,Jonathan Spector,Marcus Hahnemann,Christophe Berra,Jody Craddock,George Elokobi,Karl Henry,Michael Mancienne,David Jones,Matthew Jarvis,Kevin Foley,Kevin Doyle,Sylvan Ebanks-Blake,Wayne Hennessey,Nenad Milijas
Aston Villa,Sunderland,2009-2010 Barclays Premier League,1,1,Brad Friedel,Richard Dunne,James Collins,Stephen Warnock,Carlos Jimenez Cuellar,James Milner,Stiliyan Petrov,Stewart Downing,Ashley Young,John Carew,Emile Heskey,Moustapha Salifou,Brad Guzan,Marc Albrighton,Craig Gordon,John Mensah,Michael Turner,Anton Ferdinand,Kieran Richardson,Lee Cattermole,Steed Malbranque,Jordan Henderson,Darren Bent,Fraizer Campbell,Matthew Kilgallon,Phil Bardsley,Trevor Carson
Manchester City,Everton,2009-2010 Barclays Premier League,0,2,Shay Given,Vincent Kompany,Kolo Toure,Pablo Zabaleta,Micah Richards,Gareth Barry,Nigel de Jong,Carlos Tevez,Stephen Ireland,Craig Bellamy,Adam Johnson,Javier Garrido,Nedum Onuoha,Patrick Vieira,Tim Howard,Sylvain Distin,Phil Jagielka,Leighton Baines,John Heitinga,Mikel Arteta,Tim Cahill,Steven Pienaar,Leon Osman,Louis Saha,Yakubu Aiyegbeni,Diniyar Bilyaletdinov,Dan Gosling
Portsmouth,Chelsea,2009-2010 Barclays Premier League,0,5,David James,Hermann Hreidarsson,Ricardo Rocha,Steve Finnan,Hayden Mullins,Aaron Mokoena,Marc Wilson,Jamie O'Hara,Richard Hughes,Tommy Smith,Frederic Piquionne,Anthony Vanden Borre,Danny Webber,Angelos Basinas,Petr Cech,John Terry,Ricardo Carvalho,Yury Zhirkov,John Obi Mikel,Deco,Frank Lampard,Florent Malouda,Didier Drogba,Daniel Sturridge,Salomon Kalou,Jeffrey Bruma,Alex
Blackburn Rovers,Birmingham City,2009-2010 Barclays Premier League,2,1,Jason Brown,Phil Jones,Christopher Samba,Martin Olsson,Michel Salgado,Keith Andrews,Steven N'Zonzi,El-Hadji Diouf,Morten Gamst Pedersen,Nikola Kalinic,David Dunn,Ryan Nelsen,Franco Di Santo,Junior Hoilett,Joe Hart,Scott Dann,Roger Johnson,Liam Ridgewell,Barry Ferguson,Lee Bowyer,Keith Fahey,Craig Gardner,Cameron Jerome,James McFadden,Michel,Ashley Sammons,Kevin Phillips
Birmingham City,Arsenal,2009-2010 Barclays Premier League,1,1,Joe Hart,Scott Dann,Roger Johnson,Liam Ridgewell,Stephen Carr,Lee Bowyer,Barry Ferguson,James McFadden,Keith Fahey,Craig Gardner,Cameron Jerome,Sebastian Larsson,Gregory Vignal,Michel,Manuel Almunia,Alex Song,Sol Campbell,Gael Clichy,Abou Diaby,Denilson,Nicklas Bendtner,Cesc Fabregas,Tomas Rosicky,Theo Walcott,Carlos Vela,Lukasz Fabianski,Armand Traore
Chelsea,Aston Villa,2009-2010 Barclays Premier League,7,1,Petr Cech,John Terry,Alex,Yury Zhirkov,Paulo Ferreira,John Obi Mikel,Frank Lampard,Deco,Florent Malouda,Nicolas Anelka,Joe Cole,Daniel Sturridge,Jeffrey Bruma,Patrick van Aanholt,Brad Friedel,Richard Dunne,James Collins,Stephen Warnock,Steve Sidwell,Stiliyan Petrov,Ashley Young,James Milner,Gabriel Agbonlahor,John Carew,Curtis Davies,Brad Guzan,Stewart Downing
Hull City,Fulham,2009-2010 Barclays Premier League,2,0,Boaz Myhill,Steven Mouyokolo,Ibrahima Sonko,Kevin Kilbane,Paul McShane,George Boateng,Jimmy Bullard,Dean Marney,Richard Garcia,Jozy Altidore,Craig Fagan,Matt Duke,Marcio Geovanni,Tom Cairney,Mark Schwarzer,Brede Hangeland,Chris Smalling,Paul Konchesky,Kagisho Dikgacoi,Chris Baird,Zoltan Gera,Simon Davies,Bjorn Riise,Clint Dempsey,Aaron Hughes,Fredrik Stoor,Pascal Zuberbuhler
Tottenham Hotspur,Portsmouth,2009-2010 Barclays Premier League,2,0,Heurelho Gomes,Sebastien Bassong,Michael Dawson,Tom Huddlestone,Gareth Bale,Kyle Walker,Luka Modric,Niko Kranjcar,David Bentley,Peter Crouch,Eidur Gudjohnsen,Danny Rose,Jake Livermore,Younes Kaboul,David James,Hermann Hreidarsson,Aaron Mokoena,Steve Finnan,Richard Hughes,Michael Brown,Angelos Basinas,Frederic Piquionne,Anthony Vanden Borre,Nwankwo Kanu,Leonard Sowah,Jamie Ashdown,Danny Webber
West Ham United,Stoke City,2009-2010 Barclays Premier League,0,1,Robert Green,Matthew Upson,Manuel da Costa,Jonathan Spector,Julien Faubert,Mark Noble,Scott Parker,Valon Behrami,Kieron Courtney Dyer,Carlton Cole,Hossam Mido,Fabio Daprela,Peter Kurucz,Aruajo Ilan,Thomas Sorensen,Danny Higginbotham,Abdoulaye Faye,Danny Collins,Glenn Whelan,Rory Delap,Matthew Etherington,Liam Lawrence,Dave Kitson,Mamady Sidibe,Asmir Begovic,Louis Moult,Andy Wilkinson
Wolverhampton Wanderers,Everton,2009-2010 Barclays Premier League,0,0,Marcus Hahnemann,Christophe Berra,Jody Craddock,George Elokobi,Ronald Zubar,Michael Mancienne,Karl Henry,David Jones,Matthew Jarvis,Kevin Foley,Kevin Doyle,Wayne Hennessey,Nenad Milijas,Adlene Guedioura,Tim Howard,Sylvain Distin,Phil Jagielka,Leighton Baines,Jack Rodwell,John Heitinga,Tim Cahill,Mikel Arteta,Steven Pienaar,Leon Osman,Joseph Yobo,Philippe Senderos,Diniyar Bilyaletdinov
Bolton Wanderers,Manchester United,2009-2010 Barclays Premier League,0,4,Jussi Jaaskelainen,Zat Knight,Gary Cahill,Jlloyd Samuel,Sam Rickett,Tamir Cohen,Fabrice Muamba,Jack Wilshere,Lee Chung-Yong,Johan Elmander,Kevin Davies,Ali Al Habsi,Vladimir Weiss,Mark Davies,Edwin van der Sar,Nemanja Vidic,Jonny Evans,Patrice Evra,Paul Scholes,Darren Fletcher,Ryan Giggs,Nani,Antonio Valencia,Dimitar Berbatov,Rafael,Ritchie de Laet,Michael Carrick
Burnley,Blackburn Rovers,2009-2010 Barclays Premier League,0,1,Brian Jensen,Leon Cort,Mike Duff,Stephen Jordan,Tyrone Mears,Kevin McDonald,Graham Alexander,Wade Elliott,Martin Paterson,David Nugent,Steven Fletcher,Steve Thompson,Jack Cork,Daniel Fox,Jason Brown,Phil Jones,Christopher Samba,Gael Givet,Steven N'Zonzi,Morten Gamst Pedersen,David Dunn,Martin Olsson,Jason Roberts,El-Hadji Diouf,Nikola Kalinic,Junior Hoilett,Pascal Chimbonda
Liverpool,Sunderland,2009-2010 Barclays Premier League,3,0,Pepe Reina,Daniel Agger,Jamie Carragher,Emiliano Insua,Glen Johnson,Javier Mascherano,Steven Gerrard,Ryan Babel,Maxi Rodriguez,Fernando Torres,Dirk Kuyt,Diego Cavalieri,Lucas Leiva,Nabil El Zhar,Craig Gordon,Anton Ferdinand,Michael Turner,Kieran Richardson,Lee Cattermole,Lorik Cana,Steed Malbranque,Jordan Henderson,Darren Bent,Fraizer Campbell,Trevor Carson,Michael Liddle,Paulo da Silva
Manchester City,Wigan Athletic,2009-2010 Barclays Premier League,3,0,Shay Given,Vincent Kompany,Kolo Toure,Javier Garrido,Pablo Zabaleta,Patrick Vieira,Nigel de Jong,Adam Johnson,Shaun Wright-Phillips,Emmanuel Adebayor,Carlos Tevez,Roque Santa Cruz,Micah Richards,Nedum Onuoha,Vladimir Stojkovic,Titus Bramble,Gary Caldwell,Maynor Figueroa,Mohamed Diame,Hendry Thomas,Marcelo Moreno,Paul Scharner,Hugo Rodallega,James McCarthy,Victor Moses,Jordi Gomez,Charles N'Zogbia
Manchester United,Chelsea,2009-2010 Barclays Premier League,1,2,Edwin van der Sar,Nemanja Vidic,Rio Ferdinand,Patrice Evra,Gary Neville,Paul Scholes,Darren Fletcher,Park Ji-Sung,Ryan Giggs,Antonio Valencia,Dimitar Berbatov,Rafael,Ritchie de Laet,Nani,Petr Cech,John Terry,Alex,Yury Zhirkov,John Obi Mikel,Frank Lampard,Joe Cole,Florent Malouda,Nicolas Anelka,Deco,Daniel Sturridge,Jeffrey Bruma,Salomon Kalou
Arsenal,Wolverhampton Wanderers,2009-2010 Barclays Premier League,1,0,Manuel Almunia,Thomas Vermaelen,Sol Campbell,Mikael Silvestre,Bacary Sagna,Alex Song,Tomas Rosicky,Denilson,Theo Walcott,Eduardo,Emmanuel Eboue,Lukasz Fabianski,Craig Eastmond,Samir Nasri,Marcus Hahnemann,Christophe Berra,Jody Craddock,George Elokobi,Michael Mancienne,Karl Henry,David Jones,Matthew Jarvis,Kevin Foley,Kevin Doyle,Nenad Milijas,Adlene Guedioura,David Edwards
Bolton Wanderers,Aston Villa,2009-2010 Barclays Premier League,0,1,Jussi Jaaskelainen,Zat Knight,Gary Cahill,Paul Robinson,Sam Rickett,Tamir Cohen,Fabrice Muamba,Jack Wilshere,Lee Chung-Yong,Johan Elmander,Kevin Davies,Gretar Rafn Steinsson,Ali Al Habsi,Vladimir Weiss,Brad Friedel,Richard Dunne,James Collins,Stephen Warnock,Stiliyan Petrov,Fabian Delph,Stewart Downing,Ashley Young,Gabriel Agbonlahor,John Carew,James Milner,Brad Guzan,Nathan Delfouneso
Portsmouth,Blackburn Rovers,2009-2010 Barclays Premier League,0,0,Jamie Ashdown,Ricardo Rocha,Aaron Mokoena,Hayden Mullins,Anthony Vanden Borre,Michael Brown,Angelos Basinas,Jamie O'Hara,Richard Hughes,John Utaka,Nwankwo Kanu,Joel Ward,Gael Nlundulu,Leonard Sowah,Paul Robinson,Phil Jones,Christopher Samba,Gael Givet,Morten Gamst Pedersen,David Dunn,Steven N'Zonzi,Martin Olsson,El-Hadji Diouf,Jason Roberts,Franco Di Santo,Amine Linganzi,Nikola Kalinic
Stoke City,Hull City,2009-2010 Barclays Premier League,2,0,Thomas Sorensen,Danny Higginbotham,Abdoulaye Faye,Danny Collins,Robert Huth,Glenn Whelan,Rory Delap,Matthew Etherington,Liam Lawrence,Ricardo Fuller,Dave Kitson,Ryan Shawcross,Asmir Begovic,Dean Whitehead,Boaz Myhill,Steven Mouyokolo,Paul McShane,Kevin Kilbane,George Boateng,Jimmy Bullard,Dean Marney,Richard Garcia,Caleb Folan,Craig Fagan,Matt Duke,Seyi George Olofinjana,Marcio Geovanni
Sunderland,Tottenham Hotspur,2009-2010 Barclays Premier League,3,1,Craig Gordon,Paulo da Silva,Michael Turner,Kieran Richardson,Anton Ferdinand,Lee Cattermole,David Meyler,Steed Malbranque,Jordan Henderson,Darren Bent,Fraizer Campbell,Trevor Carson,Lorik Cana,Boudewijn Zenden,Heurelho Gomes,Sebastien Bassong,Younes Kaboul,Wilson Palacios,Kyle Walker,Luka Modric,Gareth Bale,David Bentley,Roman Pavlyuchenko,Eidur Gudjohnsen,Danny Rose,Jake Livermore,Niko Kranjcar
Burnley,Manchester City,2009-2010 Barclays Premier League,1,6,Brian Jensen,Leon Cort,Mike Duff,Daniel Fox,Tyrone Mears,Kevin McDonald,Graham Alexander,Steven Fletcher,Robbie Blake,Chris Eagles,David Nugent,Steve Thompson,Andre Bikey,Jack Cork,Shay Given,Vincent Kompany,Kolo Toure,Sylvinho,Gareth Barry,Patrick Vieira,Emmanuel Adebayor,Carlos Tevez,Craig Bellamy,Adam Johnson,Gunnar Nielsen,Dedryck Boyata,Nigel de Jong
Birmingham City,Liverpool,2009-2010 Barclays Premier League,1,1,Joe Hart,Scott Dann,Roger Johnson,Liam Ridgewell,Stephen Carr,Lee Bowyer,Barry Ferguson,Cameron Jerome,James McFadden,Keith Fahey,Craig Gardner,Sebastian Larsson,Gregory Vignal,Cristian Roman Benitez,Pepe Reina,Jamie Carragher,Sotirios Kyrgiakos,Emiliano Insua,Lucas Leiva,Steven Gerrard,Yossi Benayoun,Maxi Rodriguez,Fernando Torres,Dirk Kuyt,Daniel Agger,Diego Cavalieri,Ryan Babel
Fulham,Wigan Athletic,2009-2010 Barclays Premier League,2,1,Mark Schwarzer,Brede Hangeland,Aaron Hughes,Paul Konchesky,Simon Davies,Dickson Etuhu,Danny Murphy,Clint Dempsey,Damien Duff,David Elm,Zoltan Gera,Pascal Zuberbuhler,Chris Smalling,Chris Baird,Chris Kirkland,Titus Bramble,Paul Scharner,Maynor Figueroa,Mohamed Diame,James McCarthy,Marcelo Moreno,Hugo Rodallega,Charles N'Zogbia,Jason Scotland,Steve Gohouri,Jordi Gomez,Scott Sinclair
Everton,West Ham United,2009-2010 Barclays Premier League,2,2,Tim Howard,Sylvain Distin,Phil Jagielka,Leighton Baines,Phil Neville,John Heitinga,Leon Osman,Tim Cahill,Steven Pienaar,Diniyar Bilyaletdinov,Louis Saha,Philippe Senderos,James Wallace,Shane Duffy,Robert Green,Matthew Upson,Manuel da Costa,Jonathan Spector,Scott Parker,Radoslav Kovac,Mark Noble,Valon Behrami,Junior Stanislas,Hossam Mido,Fabio Daprela,Junior Stanislas,Josh Payne
Hull City,Burnley,2009-2010 Barclays Premier League,1,4,Boaz Myhill,Ibrahima Sonko,Steven Mouyokolo,Andy Dawson,Paul McShane,Jimmy Bullard,George Boateng,Kevin Kilbane,Bernard Mendy,Jozy Altidore,Craig Fagan,Dean Marney,Tom Cairney,Nick Barmby,Brian Jensen,Mike Duff,Leon Cort,Daniel Fox,Jack Cork,Graham Alexander,Wade Elliott,Martin Paterson,Steven Fletcher,David Nugent,Clarke Carlisle,Chris Eagles,Steven Caldwell
West Ham United,Sunderland,2009-2010 Barclays Premier League,1,0,Robert Green,Matthew Upson,Manuel da Costa,Jonathan Spector,Julien Faubert,Radoslav Kovac,Mark Noble,Valon Behrami,Junior Stanislas,Aruajo Ilan,Carlton Cole,Alessandro Diamanti,Jordan Spence,Peter Kurucz,Craig Gordon,Paulo da Silva,Michael Turner,Kieran Richardson,Lee Cattermole,David Meyler,Steed Malbranque,Jordan Henderson,Darren Bent,Fraizer Campbell,Phil Bardsley,Trevor Carson,Benjani Mwaruwari
Wolverhampton Wanderers,Stoke City,2009-2010 Barclays Premier League,0,0,Marcus Hahnemann,Christophe Berra,Jody Craddock,George Elokobi,Ronald Zubar,Michael Mancienne,David Edwards,David Jones,Matthew Jarvis,Kevin Foley,Kevin Doyle,Stephen Ward,Greg Halford,Adlene Guedioura,Thomas Sorensen,Danny Higginbotham,Abdoulaye Faye,Danny Collins,Glenn Whelan,Rory Delap,Matthew Etherington,Dean Whitehead,Dave Kitson,Mamady Sidibe,Asmir Begovic,Matthew Lund,Louis Moult
Blackburn Rovers,Manchester United,2009-2010 Barclays Premier League,0,0,Paul Robinson,Phil Jones,Christopher Samba,Gael Givet,Michel Salgado,Steven N'Zonzi,Vince Grella,Nikola Kalinic,Morten Gamst Pedersen,Martin Olsson,Brett Emerton,Keith Andrews,Franco Di Santo,Ryan Nelsen,Edwin van der Sar,Nemanja Vidic,Rio Ferdinand,John O'Shea,Ryan Giggs,Paul Scholes,Nani,Antonio Valencia,Federico Macheda,Dimitar Berbatov,Jonny Evans,Gabriel Obertan,Patrice Evra
Liverpool,Fulham,2009-2010 Barclays Premier League,0,0,Pepe Reina,Sotirios Kyrgiakos,Jamie Carragher,Daniel Agger,Glen Johnson,Javier Mascherano,Alberto Aquilani,Ryan Babel,Maxi Rodriguez,David Ngog,Steven Gerrard,Lucas Leiva,Daniel Ayala,Dirk Kuyt,Mark Schwarzer,Brede Hangeland,Aaron Hughes,Paul Konchesky,Dickson Etuhu,Danny Murphy,Jonathan Greening,Damien Duff,Bobby Zamora,Erik Nevland,Chris Smalling,Stephen Kelly,Kagisho Dikgacoi
Manchester City,Birmingham City,2009-2010 Barclays Premier League,5,1,Shay Given,Vincent Kompany,Kolo Toure,Javier Garrido,Nedum Onuoha,Gareth Barry,Patrick Vieira,Nigel de Jong,Craig Bellamy,Adam Johnson,Emmanuel Adebayor,Gunnar Nielsen,Scott Kay,Dedryck Boyata,Maik Taylor,Scott Dann,Roger Johnson,Liam Ridgewell,Lee Bowyer,Barry Ferguson,James McFadden,Keith Fahey,Craig Gardner,Cameron Jerome,Gregory Vignal,Michel,Sebastian Larsson
Chelsea,Bolton Wanderers,2009-2010 Barclays Premier League,1,0,Petr Cech,John Terry,Alex,Yury Zhirkov,Paulo Ferreira,John Obi Mikel,Frank Lampard,Michael Ballack,Nicolas Anelka,Didier Drogba,Salomon Kalou,Daniel Sturridge,Patrick van Aanholt,Jeffrey Bruma,Jussi Jaaskelainen,Zat Knight,Gary Cahill,Paul Robinson,Sam Rickett,Fabrice Muamba,Jack Wilshere,Matthew Taylor,Lee Chung-Yong,Kevin Davies,Tamir Cohen,Vladimir Weiss,Mark Davies
Aston Villa,Everton,2009-2010 Barclays Premier League,2,2,Brad Friedel,Richard Dunne,James Collins,Stephen Warnock,Carlos Jimenez Cuellar,James Milner,Stiliyan Petrov,Stewart Downing,Ashley Young,John Carew,Gabriel Agbonlahor,Steve Sidwell,Habib Beye,Brad Guzan,Tim Howard,Sylvain Distin,Phil Jagielka,Leighton Baines,Tim Cahill,Leon Osman,John Heitinga,Diniyar Bilyaletdinov,Steven Pienaar,Yakubu Aiyegbeni,Philippe Senderos,James Wallace,Jack Rodwell
Wigan Athletic,Portsmouth,2009-2010 Barclays Premier League,0,0,Chris Kirkland,Titus Bramble,Steve Gohouri,Maynor Figueroa,Mario Melchiot,James McCarthy,Mohamed Diame,Paul Scharner,Hugo Rodallega,Charles N'Zogbia,Jason Scotland,Vladimir Stojkovic,Jordi Gomez,Ben Watson,Jamie Ashdown,Marc Wilson,Ricardo Rocha,Joel Ward,Angelos Basinas,Michael Brown,Papa Bouba Diop,Matt Ritchie,John Utaka,Tommy Smith,Leonard Sowah,Frederic Piquionne,
Tottenham Hotspur,Arsenal,2009-2010 Barclays Premier League,2,1,Heurelho Gomes,Ledley King,Michael Dawson,Tom Huddlestone,Benoit Assou-Ekotto,Younes Kaboul,Luka Modric,Gareth Bale,Danny Rose,Jermain Defoe,Roman Pavlyuchenko,Jake Livermore,Kyle Walker,David Bentley,Manuel Almunia,Thomas Vermaelen,Sol Campbell,Gael Clichy,Abou Diaby,Denilson,Samir Nasri,Tomas Rosicky,Emmanuel Eboue,Nicklas Bendtner,Fran Merida,Craig Eastmond,Mikael Silvestre
Manchester City,Manchester United,2009-2010 Barclays Premier League,0,1,Shay Given,Vincent Kompany,Kolo Toure,Wayne Bridge,Nedum Onuoha,Gareth Barry,Nigel de Jong,Craig Bellamy,Adam Johnson,Carlos Tevez,Emmanuel Adebayor,Gunnar Nielsen,Dedryck Boyata,Stephen Ireland,Edwin van der Sar,Nemanja Vidic,Jonny Evans,Patrice Evra,Paul Scholes,Darren Fletcher,Darron Gibson,Ryan Giggs,Antonio Valencia,Wayne Rooney,Tomasz Kuszczak,Rafael,Nani
Birmingham City,Hull City,2009-2010 Barclays Premier League,0,0,Joe Hart,Scott Dann,Roger Johnson,Liam Ridgewell,Stephen Carr,Lee Bowyer,Barry Ferguson,Cameron Jerome,James McFadden,Keith Fahey,Craig Gardner,Gregory Vignal,Cristian Roman Benitez,Michel,Matt Duke,Steven Mouyokolo,Ibrahima Sonko,Andy Dawson,Tom Cairney,George Boateng,Jimmy Bullard,Kevin Kilbane,Craig Fagan,Jan Vennegoor of Hesselink,Dean Marney,Seyi George Olofinjana,Marcio Geovanni
Blackburn Rovers,Everton,2009-2010 Barclays Premier League,2,3,Paul Robinson,Ryan Nelsen,Phil Jones,Gael Givet,Michel Salgado,Steven N'Zonzi,Keith Andrews,Nikola Kalinic,David Dunn,Martin Olsson,Morten Gamst Pedersen,Vince Grella,Yildiray Basturk,Junior Hoilett,Tim Howard,Sylvain Distin,Phil Jagielka,Leighton Baines,Mikel Arteta,Phil Neville,Tim Cahill,Diniyar Bilyaletdinov,Steven Pienaar,Louis Saha,James Wallace,Shane Duffy,Yakubu Aiyegbeni
Fulham,Wolverhampton Wanderers,2009-2010 Barclays Premier League,0,0,Mark Schwarzer,Chris Smalling,Aaron Hughes,Paul Konchesky,Chris Baird,Dickson Etuhu,Danny Murphy,Zoltan Gera,Simon Davies,Damien Duff,Bobby Zamora,John Pantsil,Stefano Okaka,Kagisho Dikgacoi,Marcus Hahnemann,Christophe Berra,Jody Craddock,George Elokobi,Michael Mancienne,David Edwards,David Jones,Matthew Jarvis,Kevin Foley,Kevin Doyle,Stephen Ward,Greg Halford,Adlene Guedioura
Stoke City,Bolton Wanderers,2009-2010 Barclays Premier League,1,2,Thomas Sorensen,Danny Higginbotham,Abdoulaye Faye,Danny Collins,Robert Huth,Dean Whitehead,Glenn Whelan,Rory Delap,Liam Lawrence,Dave Kitson,Tuncay Sanli,Asmir Begovic,Louis Moult,Matthew Etherington,Jussi Jaaskelainen,Zat Knight,Gary Cahill,Paul Robinson,Sam Rickett,Fabrice Muamba,Jack Wilshere,Matthew Taylor,Lee Chung-Yong,Kevin Davies,Ali Al Habsi,Tamir Cohen,Ivan Klasnic
Sunderland,Burnley,2009-2010 Barclays Premier League,2,1,Craig Gordon,John Mensah,Michael Turner,Kieran Richardson,Alan Hutton,David Meyler,Jordan Henderson,Steed Malbranque,Fraizer Campbell,Kenwyne Jones,Darren Bent,Trevor Carson,Paulo da Silva,Anton Ferdinand,Brian Jensen,Mike Duff,Leon Cort,Daniel Fox,Jack Cork,Graham Alexander,Wade Elliott,Chris Eagles,Steven Fletcher,Martin Paterson,Stephen Jordan,Clarke Carlisle,Andre Bikey
Tottenham Hotspur,Chelsea,2009-2010 Barclays Premier League,2,1,Heurelho Gomes,Sebastien Bassong,Michael Dawson,Benoit Assou-Ekotto,Younes Kaboul,Luka Modric,Tom Huddlestone,Gareth Bale,David Bentley,Roman Pavlyuchenko,Jermain Defoe,Jake Livermore,Kyle Walker,Andros Townsend,Petr Cech,John Terry,Alex,Yury Zhirkov,John Obi Mikel,Frank Lampard,Deco,Florent Malouda,Didier Drogba,Joe Cole,Salomon Kalou,Daniel Sturridge,Branislav Ivanovic
Wigan Athletic,Arsenal,2009-2010 Barclays Premier League,3,2,Chris Kirkland,Titus Bramble,Steve Gohouri,Maynor Figueroa,Mario Melchiot,Mohamed Diame,James McCarthy,Ben Watson,Hugo Rodallega,Charles N'Zogbia,Marcelo Moreno,Vladimir Stojkovic,Jordi Gomez,Jason Scotland,Lukasz Fabianski,Mikael Silvestre,Sol Campbell,Gael Clichy,Craig Eastmond,Abou Diaby,Samir Nasri,Tomas Rosicky,Nicklas Bendtner,Theo Walcott,Armand Traore,Conor Henderson,Robin van Persie
Portsmouth,Aston Villa,2009-2010 Barclays Premier League,1,2,David James,Marc Wilson,Aaron Mokoena,Papa Bouba Diop,Leonard Sowah,Anthony Vanden Borre,Kevin-Prince Boateng,Michael Brown,Hassan Yebda,Nwankwo Kanu,John Utaka,Nadir Ciftci,Matt Ritchie,Joel Ward,Brad Friedel,Richard Dunne,James Collins,Stephen Warnock,Stiliyan Petrov,James Milner,Stewart Downing,Ashley Young,John Carew,Gabriel Agbonlahor,Habib Beye,Brad Guzan,Ciaran Clark
Liverpool,West Ham United,2009-2010 Barclays Premier League,3,0,Pepe Reina,Sotirios Kyrgiakos,Jamie Carragher,Daniel Agger,Glen Johnson,Lucas Leiva,Steven Gerrard,Yossi Benayoun,Maxi Rodriguez,David Ngog,Dirk Kuyt,Diego Cavalieri,Daniel Ayala,Javier Mascherano,Robert Green,Matthew Upson,Manuel da Costa,Jonathan Spector,Mark Noble,Radoslav Kovac,Valon Behrami,Junior Stanislas,Aruajo Ilan,Carlton Cole,Alessandro Diamanti,Peter Kurucz,Fabio Daprela
Hull City,Aston Villa,2009-2010 Barclays Premier League,0,2,Matt Duke,Steven Mouyokolo,Ibrahima Sonko,Andy Dawson,Paul McShane,Tom Cairney,George Boateng,Jimmy Bullard,Kevin Kilbane,Craig Fagan,Jan Vennegoor of Hesselink,Liam Cooper,Mark Cullen,Marcio Geovanni,Brad Friedel,Richard Dunne,James Collins,Stephen Warnock,Stiliyan Petrov,James Milner,Stewart Downing,Ashley Young,Gabriel Agbonlahor,John Carew,Habib Beye,Brad Guzan,Nathan Delfouneso
Manchester United,Tottenham Hotspur,2009-2010 Barclays Premier League,3,1,Edwin van der Sar,Nemanja Vidic,Jonny Evans,Patrice Evra,Rafael,Paul Scholes,Darren Fletcher,Ryan Giggs,Nani,Antonio Valencia,Dimitar Berbatov,Tomasz Kuszczak,Darron Gibson,John O'Shea,Heurelho Gomes,Ledley King,Michael Dawson,Gareth Bale,Wilson Palacios,Tom Huddlestone,Luka Modric,David Bentley,Jermain Defoe,Roman Pavlyuchenko,Younes Kaboul,Sebastien Bassong,Aaron Lennon
Bolton Wanderers,Portsmouth,2009-2010 Barclays Premier League,2,2,Jussi Jaaskelainen,Zat Knight,Gary Cahill,Paul Robinson,Gretar Rafn Steinsson,Jack Wilshere,Fabrice Muamba,Matthew Taylor,Vladimir Weiss,Ivan Klasnic,Kevin Davies,Ali Al Habsi,Tamir Cohen,Mark Davies,David James,Ricardo Rocha,Aaron Mokoena,Leonard Sowah,Richard Hughes,Hassan Yebda,Michael Brown,John Utaka,Tommy Smith,Aruna Dindane,Jamie Ashdown,Marc Wilson,Matt Ritchie
Hull City,Sunderland,2009-2010 Barclays Premier League,0,1,Matt Duke,Anthony Gardner,Steven Mouyokolo,Andy Dawson,Bernard Mendy,Jimmy Bullard,George Boateng,Marcio Geovanni,Nick Barmby,Caleb Folan,Jozy Altidore,Ibrahima Sonko,Seyi George Olofinjana,Tom Cairney,Craig Gordon,Matthew Kilgallon,Michael Turner,Kieran Richardson,David Meyler,Jordan Henderson,Steed Malbranque,Fraizer Campbell,Darren Bent,Kenwyne Jones,Trevor Carson,Paulo da Silva,Phil Bardsley
West Ham United,Wigan Athletic,2009-2010 Barclays Premier League,3,2,Robert Green,Matthew Upson,Manuel da Costa,Jonathan Spector,Julien Faubert,Scott Parker,Radoslav Kovac,Mark Noble,Valon Behrami,Aruajo Ilan,Carlton Cole,Alessandro Diamanti,Junior Stanislas,Peter Kurucz,Chris Kirkland,Titus Bramble,Gary Caldwell,Maynor Figueroa,Mohamed Diame,Ben Watson,Marcelo Moreno,James McCarthy,Hugo Rodallega,Charles N'Zogbia,Vladimir Stojkovic,Steve Gohouri,Paul Scharner
Wolverhampton Wanderers,Blackburn Rovers,2009-2010 Barclays Premier League,1,1,Marcus Hahnemann,Christophe Berra,Jody Craddock,George Elokobi,Ronald Zubar,David Jones,David Edwards,Michael Mancienne,Stephen Ward,Kevin Foley,Kevin Doyle,Wayne Hennessey,Adlene Guedioura,Chris Iwelumo,Paul Robinson,Ryan Nelsen,Phil Jones,Gael Givet,Morten Gamst Pedersen,Steven N'Zonzi,Martin Olsson,Yildiray Basturk,Jason Roberts,Nikola Kalinic,Junior Hoilett,Amine Linganzi,David Dunn
