home,away,league,home_score,away_score,home_goalkeeper,away_goalkeeper,home_starting_2,home_starting_3,home_starting_4,home_starting_5,home_starting_6,home_starting_7,home_starting_8,home_starting_9,home_starting_10,home_starting_11,away_starting_2,away_starting_3,away_starting_4,away_starting_5,away_starting_6,away_starting_7,away_starting_8,away_starting_9,away_starting_10,away_starting_11
Swansea City,Arsenal,2014-2015 Barclays Premier League,2,1,Lukasz Fabianski,Wojciech Szczesny,Ashley Williams,Kyle Bartley,Neil Taylor,Angel Rangel,Gylfi Sigurdsson,Thomas Carroll,Ki Sung-Yueng,Wilfried Bony,Jefferson Montero,Marvin Emnes,Nacho Monreal,Per Mertesacker,Kieran Gibbs,Calum Chambers,Alexis Sanchez,Mathieu Flamini,Aaron Ramsey,Danny Welbeck,Santi Cazorla,Alex Oxlade-Chamberlain
Chelsea,West Brom,2014-2015 Barclays Premier League,2,0,Thibaut Courtois,Ben Foster,John Terry,Gary Cahill,Cesar Azpilicueta,Branislav Ivanovic,Oscar,Cesc Fabregas,Nemanja Matic,Diego Costa,Eden Hazard,Willian,Joleon Lescott,Craig Dawson,Chris Baird,Andre Wisdom,Stephane Sessegnon,Craig Gardner,Claudio Yacob,Saido Berahino,Chris Brunt,Graham Dorrans
Everton,West Ham,2014-2015 Barclays Premier League,2,1,Tim Howard,Adrian,Sylvain Distin,Phil Jagielka,Tony Hibbert,Seamus Coleman,Steven Naismith,Leon Osman,James McCarthy,Romelu Lukaku,Ross Barkley,Kevin Mirallas,James Collins,Winston Reid,James Tomkins,Aaron Cresswell,Carl Jenkinson,Kevin Nolan,Mark Noble,Morgan Amalfitano,Carlton Cole,Andy Carroll
Leicester City,Sunderland,2014-2015 Barclays Premier League,0,0,Kasper Schmeichel,Costel Pantilimon,Wes Morgan,Marcin Wasilewski,Paul Konchesky,Ritchie de Laet,Matty James,Esteban Cambiasso,Jeff Schlupp,Riyad Mahrez,Jamie Vardy,Leonardo Ulloa,Wes Brown,John O'Shea,Anthony Reveillere,Santiago Vergini,Lee Cattermole,Jordi Gomez,Sebastian Larsson,Steven Fletcher,Connor Wickham,Adam Johnson
Manchester City,Swansea City,2014-2015 Barclays Premier League,2,1,Joe Hart,Lukasz Fabianski,Martin Demichelis,Vincent Kompany,Gael Clichy,Pablo Zabaleta,Yaya Toure,Fernandinho,Samir Nasri,Jesus Navas,Sergio Aguero,Stevan Jovetic,Ashley Williams,Kyle Bartley,Neil Taylor,Angel Rangel,Gylfi Sigurdsson,Thomas Carroll,Ki Sung-Yueng,Wilfried Bony,Jefferson Montero,Nathan Dyer
Newcastle Utd,QPR,2014-2015 Barclays Premier League,1,0,Tim Krul,Robert Green,Paul Dummett,Michael Williamson,Massadio Haidara,Daryl Janmaat,Moussa Sissoko,Jack Colback,Ryan Taylor,Ayoze Perez,Sammy Ameobi,Remy Cabella,Steven Caulker,Richard Dunne,Yun Suk-Young,Nedum Onuoha,Karl Henry,Sandro,Leroy Fer,Joey Barton,Charlie Austin,Bobby Zamora
Stoke City,Burnley,2014-2015 Barclays Premier League,1,2,Asmir Begovic,Tom Heaton,Geoff Cameron,Ryan Shawcross,Marc Muniesa,Phil Bardsley,Bojan Krkic,Steven N'Zonzi,Steve Sidwell,Mame Biram Diouf,Victor Moses,Jonathan Walters,Jason Shackell,Mike Duff,Stephen Ward,Kieran Trippier,David Jones,Dean Marney,Michael Kightly,George Boyd,Danny Ings,Ashley Barnes
Arsenal,Manchester Utd,2014-2015 Barclays Premier League,1,2,Wojciech Szczesny,David de Gea,Nacho Monreal,Per Mertesacker,Kieran Gibbs,Calum Chambers,Jack Wilshere,Mikel Arteta,Aaron Ramsey,Danny Welbeck,Alexis Sanchez,Alex Oxlade-Chamberlain,Chris Smalling,Tyler Blackett,Paddy McNair,Michael Carrick,Marouane Fellaini,Wayne Rooney,Luke Shaw,Antonio Valencia,Angel Di Maria,Robin van Persie
Crystal Palace,Liverpool,2014-2015 Barclays Premier League,3,1,Julian Speroni,Simon Mignolet,Damien Delaney,Scott Dann,Joel Ward,Martin Kelly,Joe Ledley,Mile Jedinak,Yannick Bolasie,Jason Puncheon,Dwight Gayle,Marouane Chamakh,Dejan Lovren,Martin Skrtel,Glen Johnson,Javier Manquillo,Steven Gerrard,Joe Allen,Adam Lallana,Rickie Lambert,Philippe Coutinho,Raheem Sterling
Hull City,Tottenham,2014-2015 Barclays Premier League,1,2,Allan McGregor,Hugo Lloris,Curtis Davies,Michael Dawson,Andy Robertson,Ahmed Elmohamady,Gaston Ramirez,Jake Livermore,Tom Huddlestone,Nikica Jelavic,Robbie Brady,Hatem Ben Arfa,Jan Vertonghen,Federico Fazio,Ben Davies,Eric Dier,Harry Kane,Ryan Mason,Mousa Dembele,Roberto Soldado,Christian Eriksen,Erik Lamela
Aston Villa,Southampton,2014-2015 Barclays Premier League,1,1,Brad Guzan,Fraser Forster,Ciaran Clark,Jores Okore,Aly Cissokho,Alan Hutton,Ashley Westwood,Carlos Sanchez,Tom Cleverley,Gabriel Agbonlahor,Andreas Weimann,Charles N'Zogbia,Toby Alderweireld,Jose Fonte,Ryan Bertrand,Nathaniel Clyne,Shane Long,Morgan Schneiderlin,Victor Wanyama,Graziano Pelle,Sadio Mane,Dusan Tadic
West Brom,Arsenal,2014-2015 Barclays Premier League,0,1,Ben Foster,Emiliano Martinez,Joleon Lescott,Craig Dawson,Sebastien Pocognoli,Andre Wisdom,Stephane Sessegnon,Craig Gardner,Youssouf Mulumbu,Saido Berahino,Chris Brunt,Graham Dorrans,Laurent Koscielny,Per Mertesacker,Nacho Monreal,Calum Chambers,Santi Cazorla,Mathieu Flamini,Aaron Ramsey,Olivier Giroud,Danny Welbeck,Alexis Sanchez
Burnley,Aston Villa,2014-2015 Barclays Premier League,1,1,Tom Heaton,Brad Guzan,Jason Shackell,Michael Keane,Stephen Ward,Kieran Trippier,David Jones,Dean Marney,Michael Kightly,George Boyd,Danny Ings,Ashley Barnes,Ciaran Clark,Jores Okore,Aly Cissokho,Alan Hutton,Ashley Westwood,Carlos Sanchez,Tom Cleverley,Gabriel Agbonlahor,Andreas Weimann,Joe Cole
Liverpool,Stoke City,2014-2015 Barclays Premier League,1,0,Simon Mignolet,Asmir Begovic,Kolo Toure,Martin Skrtel,Jose Enrique,Glen Johnson,Philippe Coutinho,Joe Allen,Lucas Leiva,Rickie Lambert,Raheem Sterling,Jordan Henderson,Marc Wilson,Ryan Shawcross,Erik Pieters,Geoff Cameron,Bojan Krkic,Steven N'Zonzi,Steve Sidwell,Mame Biram Diouf,Marko Arnautovic,Jonathan Walters
Manchester Utd,Hull City,2014-2015 Barclays Premier League,3,0,David de Gea,Allan McGregor,Marcos Rojo,Chris Smalling,Ashley Young,Antonio Valencia,Michael Carrick,Juan Mata,Marouane Fellaini,Robin van Persie,Wayne Rooney,Angel Di Maria,Michael Dawson,Curtis Davies,James Chester,Robbie Brady,Mohamed Diame,Jake Livermore,Andy Robertson,Ahmed Elmohamady,Nikica Jelavic,Hatem Ben Arfa
QPR,Leicester City,2014-2015 Barclays Premier League,3,2,Robert Green,Kasper Schmeichel,Steven Caulker,Nedum Onuoha,Yun Suk-Young,Mauricio Isla,Karl Henry,Joey Barton,Leroy Fer,Niko Kranjcar,Charlie Austin,Eduardo Vargas,Wes Morgan,Marcin Wasilewski,Paul Konchesky,Ritchie de Laet,Esteban Cambiasso,Matty James,Jeff Schlupp,Riyad Mahrez,Leonardo Ulloa,Jamie Vardy
Swansea City,Crystal Palace,2014-2015 Barclays Premier League,1,1,Lukasz Fabianski,Julian Speroni,Ashley Williams,Kyle Bartley,Neil Taylor,Angel Rangel,Gylfi Sigurdsson,Jonjo Shelvey,Ki Sung-Yueng,Wilfried Bony,Jefferson Montero,Wayne Routledge,Brede Hangeland,Scott Dann,Martin Kelly,Joel Ward,Joe Ledley,Mile Jedinak,Yannick Bolasie,Jason Puncheon,Dwight Gayle,Marouane Chamakh
West Ham,Newcastle Utd,2014-2015 Barclays Premier League,1,0,Adrian,Robert Elliot,James Tomkins,James Collins,Aaron Cresswell,Carl Jenkinson,Stewart Downing,Cheikhou Kouyate,Mark Noble,Andy Carroll,Matthew Jarvis,Morgan Amalfitano,Paul Dummett,Michael Williamson,Massadio Haidara,Daryl Janmaat,Moussa Sissoko,Jack Colback,Cheick Tiote,Ayoze Perez,Sammy Ameobi,Yoan Gouffran
Sunderland,Chelsea,2014-2015 Barclays Premier League,0,0,Costel Pantilimon,Thibaut Courtois,Wes Brown,John O'Shea,Lee Cattermole,Anthony Reveillere,Santiago Vergini,Jack Rodwell,Sebastian Larsson,Connor Wickham,Adam Johnson,Steven Fletcher,John Terry,Gary Cahill,Cesar Azpilicueta,Branislav Ivanovic,Oscar,Nemanja Matic,Cesc Fabregas,Diego Costa,Eden Hazard,Willian
Southampton,Manchester City,2014-2015 Barclays Premier League,0,3,Fraser Forster,Joe Hart,Toby Alderweireld,Jose Fonte,Ryan Bertrand,Nathaniel Clyne,Victor Wanyama,Morgan Schneiderlin,Steven Davis,Graziano Pelle,Sadio Mane,Dusan Tadic,Eliaquim Mangala,Vincent Kompany,Gael Clichy,Pablo Zabaleta,Yaya Toure,Fernandinho,Samir Nasri,Jesus Navas,Sergio Aguero,Stevan Jovetic
Tottenham,Everton,2014-2015 Barclays Premier League,2,1,Hugo Lloris,Tim Howard,Jan Vertonghen,Federico Fazio,Ben Davies,Vlad Chiriches,Harry Kane,Nabil Bentaleb,Ryan Mason,Roberto Soldado,Christian Eriksen,Aaron Lennon,Sylvain Distin,Phil Jagielka,Leighton Baines,Seamus Coleman,Samuel Eto'o,Gareth Barry,Muhamed Besic,Romelu Lukaku,Ross Barkley,Kevin Mirallas
Burnley,Newcastle Utd,2014-2015 Barclays Premier League,1,1,Tom Heaton,Robert Elliot,Jason Shackell,Michael Keane,Stephen Ward,Kieran Trippier,David Jones,Dean Marney,Scott Arfield,George Boyd,Ashley Barnes,Danny Ings,Paul Dummett,Michael Williamson,Massadio Haidara,Daryl Janmaat,Ayoze Perez,Cheick Tiote,Mehdi Abeid,Papiss Cisse,Sammy Ameobi,Yoan Gouffran
Leicester City,Liverpool,2014-2015 Barclays Premier League,1,3,Kasper Schmeichel,Simon Mignolet,Wes Morgan,Marcin Wasilewski,Paul Konchesky,Ritchie de Laet,Esteban Cambiasso,Matty James,Jeff Schlupp,Riyad Mahrez,Jamie Vardy,Leonardo Ulloa,Kolo Toure,Martin Skrtel,Glen Johnson,Javier Manquillo,Steven Gerrard,Lucas Leiva,Jordan Henderson,Rickie Lambert,Raheem Sterling,Adam Lallana
Manchester Utd,Stoke City,2014-2015 Barclays Premier League,2,1,David de Gea,Asmir Begovic,Marcos Rojo,Chris Smalling,Michael Carrick,Ashley Young,Antonio Valencia,Ander Herrera,Juan Mata,Marouane Fellaini,James Wilson,Robin van Persie,Marc Wilson,Ryan Shawcross,Erik Pieters,Phil Bardsley,Bojan Krkic,Geoff Cameron,Steven N'Zonzi,Mame Biram Diouf,Oussama Assaidi,Stephen Ireland
Swansea City,QPR,2014-2015 Barclays Premier League,2,0,Lukasz Fabianski,Robert Green,Ashley Williams,Kyle Bartley,Neil Taylor,Jazz Richards,Gylfi Sigurdsson,Ki Sung-Yueng,Leon Britton,Wilfried Bony,Jefferson Montero,Wayne Routledge,Steven Caulker,Richard Dunne,Yun Suk-Young,Nedum Onuoha,Niko Kranjcar,Joey Barton,Karl Henry,Charlie Austin,Leroy Fer,Eduardo Vargas
Crystal Palace,Aston Villa,2014-2015 Barclays Premier League,0,1,Julian Speroni,Brad Guzan,Brede Hangeland,Scott Dann,Joel Ward,Martin Kelly,James McArthur,Mile Jedinak,Yannick Bolasie,Wilfried Zaha,Dwight Gayle,Marouane Chamakh,Ciaran Clark,Jores Okore,Aly Cissokho,Alan Hutton,Ashley Westwood,Joe Cole,Tom Cleverley,Christian Benteke,Andreas Weimann,Gabriel Agbonlahor
West Brom,West Ham,2014-2015 Barclays Premier League,1,2,Ben Foster,Adrian,Joleon Lescott,Craig Dawson,Chris Baird,Andre Wisdom,Stephane Sessegnon,Craig Gardner,Chris Brunt,Victor Anichebe,Saido Berahino,Graham Dorrans,Winston Reid,James Tomkins,Aaron Cresswell,Carl Jenkinson,Mauro Zarate,Kevin Nolan,Cheikhou Kouyate,Andy Carroll,Stewart Downing,Morgan Amalfitano
Arsenal,Southampton,2014-2015 Barclays Premier League,1,0,Emiliano Martinez,Fraser Forster,Laurent Koscielny,Per Mertesacker,Nacho Monreal,Calum Chambers,Santi Cazorla,Mathieu Flamini,Aaron Ramsey,Danny Welbeck,Alexis Sanchez,Alex Oxlade-Chamberlain,Toby Alderweireld,Jose Fonte,Ryan Bertrand,Nathaniel Clyne,Victor Wanyama,Jack Cork,Steven Davis,Graziano Pelle,Dusan Tadic,Shane Long
Chelsea,Tottenham,2014-2015 Barclays Premier League,3,0,Thibaut Courtois,Hugo Lloris,John Terry,Gary Cahill,Cesar Azpilicueta,Branislav Ivanovic,Oscar,Nemanja Matic,Cesc Fabregas,Didier Drogba,Eden Hazard,Willian,Jan Vertonghen,Federico Fazio,Ben Davies,Vlad Chiriches,Erik Lamela,Nabil Bentaleb,Ryan Mason,Harry Kane,Christian Eriksen,Aaron Lennon
Everton,Hull City,2014-2015 Barclays Premier League,1,1,Tim Howard,Allan McGregor,Sylvain Distin,Phil Jagielka,Leighton Baines,Seamus Coleman,Ross Barkley,Gareth Barry,Muhamed Besic,Romelu Lukaku,Kevin Mirallas,Leon Osman,James Chester,Michael Dawson,Liam Rosenior,Ahmed Elmohamady,Tom Huddlestone,Jake Livermore,Stephen Quinn,David Meyler,Nikica Jelavic,Mohamed Diame
Sunderland,Manchester City,2014-2015 Barclays Premier League,1,4,Costel Pantilimon,Joe Hart,Sebastian Coates,John O'Shea,Lee Cattermole,Anthony Reveillere,Santiago Vergini,Jack Rodwell,Sebastian Larsson,William Buckley,Connor Wickham,Steven Fletcher,Martin Demichelis,Dedryck Boyata,Gael Clichy,Pablo Zabaleta,Fernandinho,Yaya Toure,Stevan Jovetic,Jesus Navas,Sergio Aguero,Samir Nasri
Newcastle Utd,Chelsea,2014-2015 Barclays Premier League,2,1,Robert Elliot,Thibaut Courtois,Fabricio Coloccini,Steven Taylor,Paul Dummett,Daryl Janmaat,Moussa Sissoko,Jack Colback,Cheick Tiote,Ayoze Perez,Sammy Ameobi,Remy Cabella,John Terry,Gary Cahill,Cesar Azpilicueta,Branislav Ivanovic,Oscar,John Obi Mikel,Cesc Fabregas,Diego Costa,Eden Hazard,Willian
Hull City,West Brom,2014-2015 Barclays Premier League,0,0,Allan McGregor,Ben Foster,James Chester,Michael Dawson,Liam Rosenior,Ahmed Elmohamady,Tom Huddlestone,Jake Livermore,Stephen Quinn,David Meyler,Abel Hernandez,Sone Aluko,Joleon Lescott,Gareth McAuley,Sebastien Pocognoli,Andre Wisdom,James Morrison,Craig Gardner,Youssouf Mulumbu,Victor Anichebe,Stephane Sessegnon,Graham Dorrans
Liverpool,Sunderland,2014-2015 Barclays Premier League,0,0,Simon Mignolet,Costel Pantilimon,Kolo Toure,Martin Skrtel,Alberto Moreno,Glen Johnson,Philippe Coutinho,Lucas Leiva,Jordan Henderson,Rickie Lambert,Raheem Sterling,Adam Lallana,Wes Brown,John O'Shea,Liam Bridcutt,Anthony Reveillere,Santiago Vergini,Jordi Gomez,Sebastian Larsson,Connor Wickham,Adam Johnson,Jozy Altidore
QPR,Burnley,2014-2015 Barclays Premier League,2,0,Robert Green,Tom Heaton,Steven Caulker,Richard Dunne,Yun Suk-Young,Mauricio Isla,Karl Henry,Joey Barton,Leroy Fer,Eduardo Vargas,Charlie Austin,Bobby Zamora,Jason Shackell,Michael Keane,Ben Mee,Kieran Trippier,David Jones,Dean Marney,Scott Arfield,George Boyd,Danny Ings,Ashley Barnes
Stoke City,Arsenal,2014-2015 Barclays Premier League,3,2,Asmir Begovic,Emiliano Martinez,Marc Muniesa,Ryan Shawcross,Erik Pieters,Phil Bardsley,Bojan Krkic,Geoff Cameron,Steven N'Zonzi,Peter Crouch,Mame Biram Diouf,Jonathan Walters,Per Mertesacker,Calum Chambers,Kieran Gibbs,Hector Bellerin,Santi Cazorla,Aaron Ramsey,Mathieu Flamini,Olivier Giroud,Alexis Sanchez,Alex Oxlade-Chamberlain
Tottenham,Crystal Palace,2014-2015 Barclays Premier League,0,0,Hugo Lloris,Julian Speroni,Jan Vertonghen,Federico Fazio,Ben Davies,Eric Dier,Harry Kane,Nabil Bentaleb,Ryan Mason,Roberto Soldado,Christian Eriksen,Erik Lamela,Brede Hangeland,Scott Dann,Mile Jedinak,Joel Ward,Martin Kelly,Joe Ledley,James McArthur,Yannick Bolasie,Wilfried Zaha,Marouane Chamakh
Manchester City,Everton,2014-2015 Barclays Premier League,1,0,Joe Hart,Tim Howard,Eliaquim Mangala,Martin Demichelis,Gael Clichy,Pablo Zabaleta,Yaya Toure,Fernando,James Milner,Jesus Navas,Sergio Aguero,Samir Nasri,Sylvain Distin,Phil Jagielka,Leighton Baines,Tony Hibbert,Samuel Eto'o,Gareth Barry,Muhamed Besic,Romelu Lukaku,Kevin Mirallas,Seamus Coleman
West Ham,Swansea City,2014-2015 Barclays Premier League,3,1,Adrian,Lukasz Fabianski,Winston Reid,James Tomkins,Alex Song,Aaron Cresswell,Carl Jenkinson,Kevin Nolan,Stewart Downing,Cheikhou Kouyate,Andy Carroll,Enner Valencia,Ashley Williams,Kyle Bartley,Jazz Richards,Angel Rangel,Gylfi Sigurdsson,Ki Sung-Yueng,Leon Britton,Wilfried Bony,Jefferson Montero,Wayne Routledge
Aston Villa,Leicester City,2014-2015 Barclays Premier League,2,1,Brad Guzan,Kasper Schmeichel,Ciaran Clark,Jores Okore,Aly Cissokho,Alan Hutton,Ashley Westwood,Carlos Sanchez,Tom Cleverley,Christian Benteke,Gabriel Agbonlahor,Charles N'Zogbia,Liam Moore,Marcin Wasilewski,Paul Konchesky,Danny Simpson,Esteban Cambiasso,Matty James,Jeff Schlupp,Riyad Mahrez,Jamie Vardy,Leonardo Ulloa
Southampton,Manchester Utd,2014-2015 Barclays Premier League,1,2,Fraser Forster,David de Gea,Maya Yoshida,Jose Fonte,Ryan Bertrand,Nathaniel Clyne,Dusan Tadic,Victor Wanyama,Steven Davis,Graziano Pelle,Sadio Mane,Shane Long,Chris Smalling,Marcos Rojo,Paddy McNair,Michael Carrick,Ashley Young,Antonio Valencia,Marouane Fellaini,Juan Mata,Robin van Persie,Wayne Rooney
Burnley,Southampton,2014-2015 Barclays Premier League,1,0,Tom Heaton,Fraser Forster,Jason Shackell,Michael Keane,Ben Mee,Kieran Trippier,David Jones,Dean Marney,Scott Arfield,George Boyd,Danny Ings,Ashley Barnes,Toby Alderweireld,Jose Fonte,Ryan Bertrand,Nathaniel Clyne,Dusan Tadic,Steven Davis,Victor Wanyama,Graziano Pelle,Sadio Mane,Jake Hesketh
Chelsea,Hull City,2014-2015 Barclays Premier League,2,0,Petr Cech,Allan McGregor,John Terry,Gary Cahill,Filipe Luis,Branislav Ivanovic,Oscar,Nemanja Matic,John Obi Mikel,Diego Costa,Eden Hazard,Willian,Michael Dawson,Curtis Davies,James Chester,Andy Robertson,Ahmed Elmohamady,Tom Huddlestone,David Meyler,Jake Livermore,Sone Aluko,Nikica Jelavic
Crystal Palace,Stoke City,2014-2015 Barclays Premier League,1,1,Julian Speroni,Asmir Begovic,Brede Hangeland,Scott Dann,Joel Ward,Martin Kelly,Mile Jedinak,Joe Ledley,James McArthur,Marouane Chamakh,Yannick Bolasie,Wilfried Zaha,Marc Wilson,Ryan Shawcross,Erik Pieters,Phil Bardsley,Bojan Krkic,Steven N'Zonzi,Geoff Cameron,Peter Crouch,Mame Biram Diouf,Jonathan Walters
Leicester City,Manchester City,2014-2015 Barclays Premier League,0,1,Ben Hamer,Joe Hart,Wes Morgan,Marcin Wasilewski,Paul Konchesky,Danny Simpson,Danny Drinkwater,Andy King,Esteban Cambiasso,Jeff Schlupp,Riyad Mahrez,Jamie Vardy,Eliaquim Mangala,Vincent Kompany,Gael Clichy,Bacary Sagna,Frank Lampard,Fernando,Yaya Toure,Jose Pozo,David Silva,Samir Nasri
Sunderland,West Ham,2014-2015 Barclays Premier League,1,1,Costel Pantilimon,Adrian,Wes Brown,John O'Shea,Lee Cattermole,Anthony Reveillere,Santiago Vergini,Jordi Gomez,Sebastian Larsson,Connor Wickham,Adam Johnson,Jozy Altidore,Winston Reid,James Tomkins,Alex Song,Aaron Cresswell,Carl Jenkinson,Stewart Downing,Cheikhou Kouyate,Kevin Nolan,Andy Carroll,Diafra Sakho
West Brom,Aston Villa,2014-2015 Barclays Premier League,1,0,Ben Foster,Brad Guzan,Joleon Lescott,Gareth McAuley,Sebastien Pocognoli,Andre Wisdom,Graham Dorrans,James Morrison,Silvestre Varela,Stephane Sessegnon,Brown Ideye,Craig Gardner,Ciaran Clark,Jores Okore,Aly Cissokho,Alan Hutton,Carlos Sanchez,Kieran Richardson,Tom Cleverley,Christian Benteke,Gabriel Agbonlahor,Charles N'Zogbia
Arsenal,Newcastle Utd,2014-2015 Barclays Premier League,4,1,Wojciech Szczesny,Jak Alnwick,Per Mertesacker,Mathieu Debuchy,Kieran Gibbs,Hector Bellerin,Santi Cazorla,Alex Oxlade-Chamberlain,Mathieu Flamini,Olivier Giroud,Danny Welbeck,Alexis Sanchez,Fabricio Coloccini,Michael Williamson,Paul Dummett,Daryl Janmaat,Sammy Ameobi,Jack Colback,Cheick Tiote,Papiss Cisse,Yoan Gouffran,Ayoze Perez
Manchester Utd,Liverpool,2014-2015 Barclays Premier League,3,0,David de Gea,Brad Jones,Michael Carrick,Jonny Evans,Phil Jones,Wayne Rooney,Marouane Fellaini,Juan Mata,Ashley Young,Antonio Valencia,James Wilson,Robin van Persie,Martin Skrtel,Dejan Lovren,Glen Johnson,Joe Allen,Steven Gerrard,Alberto Moreno,Jordan Henderson,Raheem Sterling,Adam Lallana,Philippe Coutinho
Swansea City,Tottenham,2014-2015 Barclays Premier League,1,2,Gerhard Tremmel,Hugo Lloris,Ashley Williams,Kyle Bartley,Neil Taylor,Angel Rangel,Gylfi Sigurdsson,Ki Sung-Yueng,Leon Britton,Wilfried Bony,Jefferson Montero,Wayne Routledge,Jan Vertonghen,Federico Fazio,Ben Davies,Kyle Walker,Nabil Bentaleb,Ryan Mason,Christian Eriksen,Erik Lamela,Harry Kane,Roberto Soldado
Everton,QPR,2014-2015 Barclays Premier League,3,1,Tim Howard,Robert Green,Sylvain Distin,Phil Jagielka,Leighton Baines,Seamus Coleman,Steven Naismith,Muhamed Besic,Ross Barkley,Romelu Lukaku,Kevin Mirallas,Aiden McGeady,Nedum Onuoha,Richard Dunne,Yun Suk-Young,Mauricio Isla,Leroy Fer,Jordon Mutch,Joey Barton,Junior Hoilett,Matt Phillips,Eduardo Vargas
Manchester City,Crystal Palace,2014-2015 Barclays Premier League,3,0,Joe Hart,Julian Speroni,Eliaquim Mangala,Martin Demichelis,Aleksandar Kolarov,Pablo Zabaleta,David Silva,Fernandinho,Yaya Toure,James Milner,Samir Nasri,Jesus Navas,Brede Hangeland,Scott Dann,Mile Jedinak,Joel Ward,Martin Kelly,Joe Ledley,James McArthur,Yannick Bolasie,Jason Puncheon,Fraizer Campbell
Aston Villa,Manchester Utd,2014-2015 Barclays Premier League,1,1,Brad Guzan,David de Gea,Ron Vlaar,Ciaran Clark,Jores Okore,Aly Cissokho,Matthew Lowton,Fabian Delph,Carlos Sanchez,Andreas Weimann,Gabriel Agbonlahor,Christian Benteke,Michael Carrick,Jonny Evans,Phil Jones,Wayne Rooney,Darren Fletcher,Juan Mata,Ashley Young,Antonio Valencia,Radamel Falcao,Robin van Persie
Hull City,Swansea City,2014-2015 Barclays Premier League,0,1,Allan McGregor,Lukasz Fabianski,Alex Bruce,Curtis Davies,James Chester,Andy Robertson,Ahmed Elmohamady,Jake Livermore,Gaston Ramirez,David Meyler,Nikica Jelavic,Abel Hernandez,Ashley Williams,Federico Fernandez,Neil Taylor,Jazz Richards,Jonjo Shelvey,Thomas Carroll,Ki Sung-Yueng,Bafetimbi Gomis,Wayne Routledge,Nathan Dyer
QPR,West Brom,2014-2015 Barclays Premier League,3,2,Robert Green,Ben Foster,Steven Caulker,Richard Dunne,Yun Suk-Young,Nedum Onuoha,Karl Henry,Joey Barton,Leroy Fer,Eduardo Vargas,Bobby Zamora,Charlie Austin,Joleon Lescott,Gareth McAuley,Sebastien Pocognoli,Andre Wisdom,Craig Gardner,Graham Dorrans,James Morrison,Brown Ideye,Silvestre Varela,Stephane Sessegnon
Southampton,Everton,2014-2015 Barclays Premier League,3,0,Fraser Forster,Tim Howard,Maya Yoshida,Jose Fonte,Toby Alderweireld,Ryan Bertrand,Nathaniel Clyne,James Ward-Prowse,Steven Davis,Harrison Reed,Shane Long,Graziano Pelle,Sylvain Distin,Phil Jagielka,Leighton Baines,Seamus Coleman,Samuel Eto'o,Gareth Barry,Muhamed Besic,Romelu Lukaku,Ross Barkley,Steven Naismith
Tottenham,Burnley,2014-2015 Barclays Premier League,2,1,Hugo Lloris,Tom Heaton,Jan Vertonghen,Federico Fazio,Ben Davies,Kyle Walker,Christian Eriksen,Ryan Mason,Nabil Bentaleb,Harry Kane,Nacer Chadli,Erik Lamela,Jason Shackell,Michael Keane,Ben Mee,Kieran Trippier,David Jones,Dean Marney,Scott Arfield,George Boyd,Ashley Barnes,Danny Ings
West Ham,Leicester City,2014-2015 Barclays Premier League,2,0,Adrian,Ben Hamer,Winston Reid,James Tomkins,Aaron Cresswell,Carl Jenkinson,Kevin Nolan,Stewart Downing,Alex Song,Cheikhou Kouyate,Andy Carroll,Diafra Sakho,Wes Morgan,Marcin Wasilewski,Paul Konchesky,Danny Simpson,Danny Drinkwater,Andy King,Esteban Cambiasso,Jeff Schlupp,Riyad Mahrez,Jamie Vardy
Newcastle Utd,Sunderland,2014-2015 Barclays Premier League,0,1,Jak Alnwick,Costel Pantilimon,Fabricio Coloccini,Steven Taylor,Paul Dummett,Daryl Janmaat,Moussa Sissoko,Jack Colback,Cheick Tiote,Ayoze Perez,Sammy Ameobi,Yoan Gouffran,Wes Brown,Sebastian Coates,Lee Cattermole,John O'Shea,Santiago Vergini,Jordi Gomez,Sebastian Larsson,Connor Wickham,Adam Johnson,Steven Fletcher
Liverpool,Arsenal,2014-2015 Barclays Premier League,2,2,Brad Jones,Wojciech Szczesny,Martin Skrtel,Mamadou Sakho,Kolo Toure,Steven Gerrard,Lucas Leiva,Lazar Markovic,Jordan Henderson,Raheem Sterling,Adam Lallana,Philippe Coutinho,Per Mertesacker,Mathieu Debuchy,Kieran Gibbs,Calum Chambers,Mathieu Flamini,Santi Cazorla,Alex Oxlade-Chamberlain,Olivier Giroud,Danny Welbeck,Alexis Sanchez
